ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
25,Oct-17,2020-02-27T20:35:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635414,-1.128742,883313,On or near Yeoman Street,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - African,Person search
26,over 34,2020-02-27T08:56:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.63354,-1.126977,883379,On or near Church Street,Controlled drugs,White,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
27,over 34,2020-02-27T08:56:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.63354,-1.126977,883379,On or near Church Street,Controlled drugs,White,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
28,Oct-17,2020-02-28T22:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.639566,-1.126221,883325,On or near St Matthews Way,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
29,25-34,2020-02-29T11:47:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.628804,-1.129716,883331,On or near Rawson Street,Controlled drugs,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
30,Oct-17,2020-02-27T20:36:00+00:00,Female,TRUE,Misuse of Drugs Act 1971 (section 23),52.635598,-1.12933,883314,On or near Yeoman Lane,Controlled drugs,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
31,18-24,2020-02-22T12:01:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.620842,-1.131306,876361,On or near Counting House Road,Controlled drugs,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
32,18-24,2020-02-23T22:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.627307,-1.140191,883419,On or near Grasmere Street,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Any other ethnic group,Person search
33,18-24,2020-02-23T22:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.624389,-1.140706,882316,On or near Filbert Street,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - African,Person and Vehicle search
34,null,2020-02-23T22:05:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.624389,-1.140706,882316,On or near Filbert Street,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - African,Person search
